宋野昊,2021-09-13 17:21,刚听寝室里有说今天喜茶买一送一。拿起微信查了查售价。妈呀，比一点点还贵，比星巴克还贵，。去死吧，有病，谁喝你呀。。傻背，卖这么贵。有大病一样
暗夜猪精啊,2021-09-06 22:16,不经常冲浪的代价这么大的嘛？#喜茶店员错拿饮料样品顾客喝了后洗胃#。就离谱的，评论区的各位看课凭什么替受害者原谅喜茶？也挺可悲的，“打工人”这个借口真的挺好用的。
石时关注,2021-09-06 18:20,近日，喜茶上海一门店被曝光，店员误拿不能喝的样品给顾客陈女士，导致陈女士喝下后入院催吐洗胃。更离谱的是，样品究竟是何物质，喜茶在较长时间里都给不出一个明确的答案，陈女士因此无法及时、有针对性地得到治疗。9月3日晚，喜茶发文致歉，展开c
睡前影视君,2021-09-06 13:48,#喜茶回应店员拿错饮料给顾客#店员误拿仿真样品，致顾客喝下后入院洗胃。喜茶发文致歉：已在全国门店下架同款陈列道具。#今日热门#L睡前影视君的微博视频
我家pr是个菜鸡,2021-09-05 23:57,#公关声明#。菜鸡公关打分：6分（满分10分）。。菜鸡公关认为，这是一篇比较中规中矩的公关声明，对喜茶来说也是场无妄之灾。不涉及产品质量问题，所以也没有掀起太大舆论。。。你怎么看？
上回书说到,2021-09-05 16:37,喜茶发布了头条文章：《喜茶致歉热搜第一！顾客已报案》#喜茶向喝下道具饮料顾客致歉#O喜茶致歉热搜第一！顾客已报案
长春太威武,2021-09-05 10:30,【#喜茶回应拿错饮料致顾客入院洗胃#：愿以最大诚意补偿】近日，上海的陈女士因为店员的一个失误，在未知的情况下，喝到了内容物质为液态硅胶的仿真样品。当天，陈女士便前往医院洗了胃。随后，喜茶方面对陈女士表达了歉意，表示愿意配合将陈列道具样品，送往陈女士和监管部门选定的权威展开c
南丰发布,2021-09-05 09:56,【喜茶店员错把陈列道具当饮料，顾客喝下后入院洗胃】#喜茶店员拿错饮料顾客喝下后入院洗胃#近日，“网红”茶饮品牌喜茶被曝光店员拿错饮料给顾客喝，导致顾客喝下后到医院洗胃，引发广泛关注。L南财视频的微博视频
看评论,2021-09-04 20:59,#喜茶回应拿错饮料致顾客入院洗胃#3日晚，喜茶针对店员拿错饮料顾客喝下后入院洗胃一事发文致歉。L看评论的微博视频
喵教授professor,2021-09-04 20:35,绷不住了，我从法律方面回答一下顾客如何维权。。。第一，喜茶店家存在一定的过错。。把样品给消费者拿错了，并导致消费者入院洗胃。。。这种过错，说起来可笑，其实细思极恐。。。因为样品非卖品，不但是店员失误，而且反映了管理不严。。。其次，在事件发生后，据消费者说，连样品也没有说清楚展开c
